Pokemon
CODIGO|NOMBRE|PS|ATAQUE|DEFENSA|ATAQ.ESP.|DEF.ESP.|VELOCIDAD
PK1|Bulbasaur|45|49|49|65|65|45
PK2|Ivysaur|60|62|63|80|80|60
PK3|Venusaur|80|82|83|100|100|80
PK4|Charmander|39|52|43|60|50|65
PK5|Charmeleon|58|64|58|80|65|80
PK6|Charizard|78|84|78|109|85|100
PK7|Squirtle|44|48|65|50|64|43
PK8|Wartortle|59|63|80|65|80|58
PK9|Blastoise|79|83|100|85|105|78
PK10|Pikachu|35|55|40|50|50|90
PK11|Raichu|60|90|55|90|80|110
PK12|Meowth|40|45|35|40|40|90
PK13|Persian|65|70|60|65|65|115
PK14|Pidgey|40|45|40|35|35|56
PK15|Pidgeotto|63|60|55|50|50|71
PK16|Pidgeot|83|80|75|70|70|101
PK17|Growlithe|55|70|45|70|50|60
PK18|Arcanine|90|110|80|100|80|95
PK19|Abra|25|20|15|105|55|90
PK20|Kadabra|40|35|30|120|70|105
PK21|Alakazam|55|50|45|135|95|120
PK22|Psyduck|50|52|48|65|50|55
PK23|Golduck|80|82|78|95|80|85
PK24|Gastly|30|35|30|100|35|80
PK25|Haunter|45|50|45|115|55|95
PK26|Gengar|60|65|60|130|75|110
PK27|Onix|35|45|160|30|45|70
PK28|Scyther|70|110|80|55|80|105
PK29|Staryu|30|45|55|70|55|85
PK30|Starmie|60|75|85|100|85|115
PK31|Magikarp|20|10|55|15|20|80
PK32|Gyarados|95|125|79|60|100|81
PK33|Articuno|90|85|100|95|125|85
PK34|Zapdos|90|90|85|125|90|100
PK35|Moltres|90|100|90|125|85|90
PK36|Dratini|41|64|45|50|50|50
PK37|Dragonair|61|84|65|70|70|70
PK38|Dragonite|91|134|95|100|100|80
