Transformers
CÓDIGO|NOMBRE|ALTURA M|PESO TN|FUERZA TN|VELOCIDAD KM/H|VELOC.TRANSFORMACION SEG
A1|SMOKESCREEN|3,9|7|350|270|1.1
A2|TRACKS|4,1|7,5|300|260|1.2
A3|OPTIMUS PRIME|7,1|12|1000|230|1
A4|INFERNO|5,2|8|450|180|1.3
B1|COSMOS|2,7|1|100|100|3
B2|WARPATH|2,7|14|400| 56| 2
B3|BLASTER|7,2| 10,8|260|150|1.8
B4|PERCEPTOR|6,6|10|360|120|2
C1|BEACHCOMBER|2,5|0,25|150|180|1.5
C2|BEACHCOMBER|2,5| 0,25|150|180|1.5
C3|SNARL|3,9|6,8|415|80|2.8
C4|SWOOP|3,9|6,9|418|463|2.3
D1|OMEGA SUPREME|10,8|45|300000|370|2.4
D2|OMEGA SUPREME|10,8|45|300000|370|2.4
D3|SLAG|4,1|7|420|85|2.1
D4|SLAG|4,1| 7|420|85|2.1
E1|ASTROTRAIN|4,4|10|500|2900|1
E2|BLITZWING|4,7|9|230|2700|1.3
E3|RAMJET|5,8|8,8|250|2800|1.2
E4|MIXMASTER|4,3|3|305|150|2.3
F1|SOUNDWAVE|6,7|8,7|350|90|2.2
F2|MEGATRON|6,7|9,5|980|80|1.1
F3|RAVAGE|1,8|1|240|140|1.2
F4|LAZERBEAK|1,6|0,9|150|463|1.8
G1|KICKBACK|5,6| 5|85|56|2.2
G2|KICKBACK|5,6|5|85|56|2.2
G3|THRUST|5,7|8,6|200|2500|1.4
G4|THRUST|5,7|8,6|200|2500|1.4
H1|SCAVENGER| 3,6| 6|300|80|1.5
H2|SCAVENGER|3,6|6|300|80|1.5
H3|LONGHAUL|3,7|4|230|130|2,7
H4|BOMBSHELL|5,1|7|90|11|1.9
