Ultimate Team
CODIGO|NOMBRE|RITMO|TIRO|PASE|REGATE|DEFENSA|CABEZA
A1|AGUERO|89|87|77|89|23|68
A2|BALE|94|83|83|84|63|80
A3|BENZEMA|83|84|75|81|22|74
A4|BOATENG|79|50|69|68|87|84
B1|BUSQUETS|53|59|77|74|83|80
B2|CHIELLINI|77|47|56|58|90|84
B3|DE BRUYNE|77|83|86|84|40|75
B4|DI MARIA|88|79|83|86|49|70
C1|FABREGAS|68|78|90|81|64|65
C2|GODIN|70|48|63|62|87|78
C3|HAZARD|90|82|84|92|32|64
C4|IBRAHIMOVIC|73|90|81|85|31|86
D1|INIESTA|75|72|87|90|59|63
D2|KROSS|56|81|88|82|66|69
D3|LAHM|75|56|84|85|87|66
D4|LEWANDOWSKI|80|85|74|84|38|80
E1|MESSI|92|88|86|95|24|62
E2|MODRIC|76|74|84|89|71|68
E3|NEYMAR|90|80|72|92|30|58
E4|OZIL|72|74|85|86|24|57
F1|PIQUE|64|54|67|60|86|76
F2|POGBA|77|80|82|86|74|88
F3|RAMOS|79|60|71|66|87|81
F4|REUS|90|84|85|86|39|64
G1|RIBERY|87|77|84|91|25|61
G2|ROBBEN|92|86|82|92|32|64
G3|RODRIGUEZ|78|86|84|85|40|72
G4|RONALDO|92|93|80|90|33|78
H1|SILVA|73|74|89|89|32|58
H2|SUAREZ|82|88|79|88|42|79
H3|TEVEZ|87|88|76|88|45|84
H4|THIAGO SILVA|74|57|73|73|90|79
